cdscode,county,district,school,latitude,longitude,graduation_rate,low_grad_rate,still_enrolled_rate,chronicabsenteeismrate,unexcused_absences_percent,met_uccsu_grad_reqs_rate,percent__eligible_free_k12,frpm_count_k12,stu_tch_ratio,pct_experienced,cohortstudents,pct_senior_cohort,stu_adm_ratio,grade_retention_ratio,pct_bachelors_plus,stu_psv_ratio,pct_bachelors
10621581032150,Fresno,Fowler Unified,Fowler High,36.633092,-119.67268,98.0,0,0.0,0.4,34.0,62.7,0.6473429951690821,660.0,21.5,0.9375,197.0,0.5084541062801933,414.0,1.004739336492891,0.5,276.0,0.16666666666666666
10621660132134,Fresno,Fresno Unified,Phillip J Patino School of Entrepreneurship,36.769549,-119.78828,100.0,0,0.0,5.7,12.9,86.5,0.6755725190839694,209.0,16.4,1.0,37.0,0.36259541984732824,131.0,0.4725274725274725,0.47368421052631576,262.0,0.0
10621661030279,Fresno,Fresno Unified,Bullard High,36.817150,-119.81057,94.0,0,0.5,14.0,45.1,64.4,0.4869255150554675,1515.0,20.8,0.9154929577464789,583.0,0.4762282091917591,504.8,0.8683812405446294,0.5774647887323944,280.4,0.04929577464788732
10621661030295,Fresno,Fresno Unified,Erma Duncan Polytechnical High,36.785032,-119.75317,96.9,0,0.0,6.4,24.5,52.1,0.7472712006717045,1071.0,17.8,0.9634146341463414,226.0,0.4693534844668346,397.0,0.799373040752351,0.4634146341463415,297.8,0.08536585365853659
10621661030675,Fresno,Fresno Unified,Sunnyside High,36.733718,-119.71832,93.1,0,0.5,17.4,39.5,56.8,0.7307032590051458,2677.0,21.2,0.9177215189873418,641.0,0.4874785591766724,416.4,0.88296488946684,0.5189873417721519,364.4,0.02531645569620253
10621661031897,Fresno,Fresno Unified,Edison High,36.721229,-119.80611,96.0,0,0.2,14.1,48.4,71.1,0.663509060955519,1985.0,21.4,0.9626865671641791,554.0,0.4674629324546952,404.7,0.884080370942813,0.5149253731343284,269.8,0.06716417910447761
10621661032507,Fresno,Fresno Unified,Fresno High,36.766028,-119.80420,87.4,1,1.4,25.9,46.1,46.5,0.7489177489177489,1844.0,19.0,0.9448818897637795,421.0,0.4151034151034151,415.8,0.7097345132743362,0.5826771653543307,297.0,0.06299212598425197
10621661032911,Fresno,Fresno Unified,Herbert Hoover High,36.817510,-119.77220,85.5,1,1.6,22.9,41.7,40.9,0.6930492135971588,1619.0,18.8,0.9186991869918699,380.0,0.4530695078640284,492.8,0.7799227799227799,0.5447154471544715,281.6,0.056910569105691054
10621661034214,Fresno,Fresno Unified,McLane High,36.775418,-119.75452,89.7,1,0.8,32.2,54.5,65.1,0.7902869757174393,1692.0,17.6,0.8760330578512396,387.0,0.41887417218543044,362.4,0.7647058823529411,0.4297520661157025,258.9,0.09917355371900827
10621661035831,Fresno,Fresno Unified,Roosevelt High,36.743093,-119.75379,87.7,1,1.1,23.4,51.4,45.7,0.7847191011235956,2048.0,19.4,0.9124087591240876,464.0,0.43595505617977526,445.0,0.7512776831345827,0.5328467153284672,278.1,0.051094890510948905
10622571033695,Fresno,Kingsburg Joint Union High,Kingsburg High,36.517915,-119.54780,98.6,0,0.5,9.7,11.7,52.3,0.48022079116835326,689.0,20.8,1.0,219.0,0.48666053357865685,434.8,0.8741258741258742,0.32786885245901637,362.3,0.16393442622950818
10622650108092,Fresno,Kings Canyon Joint Unified,Orange Cove High,36.617653,-119.32274,97.4,0,0.0,1.6,38.2,75.4,0.848,574.0,20.5,0.8958333333333334,117.0,0.3584,208.3,0.45064377682403434,0.4791666666666667,117.2,0.25
